"-------------------------------------------------------------------------------------------"
"  Atmospheric CO2 record based on ice-core data before 1959 and yearly averages            "
"  of direct observations from Mauna Loa and the South Pole after and                       "
"  including 1959 (from Scripps CO2 Program).                                               "
"                                                                                           "
"  Ice core data from CSIRO https://doi.org/10.25919/5bfe29ff807fb                          "
"  Yearly averages of direct observations from Mauna Loa and the South Pole after and       "
"  including 1959 from Scripps CO2 Program scrippsco2.ucsd.edu.                             "
"                                                                                           "
"  Cite the ice-core data as                                                                "
"  Rubino, Mauro; Etheridge, David; Thornton, David; Allison, Colin; Francey, Roger;        "
"  Langenfelds, Ray; Steele, Paul; Trudinger, Cathy; Spencer, Darren; Curran, Mark;         "
"  Van Ommen, Tas; Smith, Andrew (2019): Law Dome Ice Core 2000-Year CO2, CH4, N2O and      "
"  d13C-CO2. v2. CSIRO. Data Collection. https://doi.org/10.25919/5bfe29ff807fb             "
"                                                                                           "
"  Mauna Loa Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m         "
"  South Pole: Latitude 90.0°S Elevation 2810m                                              "
"                                                                                           "
"  Annual mean CO2 concentration for Mauna Loa and South Pole starting in 1959.             "
"  These values are derived from seasonally detrended monthly mean values for each station  "
"  that have been filled with values from the spline fit when monthly averages are          "
"  not available. Average values are centered on 1-July of each year.                       "
"                                                                                           "
"  Mauna Loa and South Pole CO2 concentrations are measured on the '12' calibration scale   "
"                                                                                           "
"  Cite the Scripps CO2 Program Mauna Loa and South Pole data as                            "
"  C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and      "
"  H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and  "
"  oceans from 1978 to 2000. I. Global aspects, SIO Reference Series, No. 01-06,            "
"  Scripps Institution of Oceanography, San Diego, 88 pages, 2001.                          "
"                                                                                           "
"   Scripps CO2 Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker     "
"   Scripps CO2 Program (scrippsco2.ucsd.edu )                                              "
"   Scripps Institution of Oceanography (SIO)                                               "
"   University of California                                                                "
"   La Jolla, California USA 92093-0244                                                     "
"                                                                                           "
"   Status of Scripps CO2 data and correspondence:                                          "
"                                                                                           "
"   These data are subject to revision based on recalibration of standard gases. Questions  "
"   about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu),             "
"   Scripps CO2 Program.                                                                    "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"  Sample Date in years CE, CO2 in ppm                                                      "
"                                                                                           "
sample_date, co2
 154.0, 278.2000
 175.0, 277.7000
 241.0, 280.4000
 266.0, 278.4000
 274.0, 280.2000
 296.0, 281.0000
 318.0, 281.8000
 357.0, 277.9000
 384.0, 277.4000
 406.0, 279.3000
 437.0, 280.1000
 488.0, 277.2000
 518.0, 276.9000
 552.0, 276.7000
 557.0, 278.5000
 582.0, 276.3000
 615.0, 278.0000
 637.0, 279.7000
 669.0, 278.6000
 701.0, 277.2000
 730.0, 280.1000
 762.0, 279.3000
 793.0, 279.8000
 822.0, 278.8000
 875.0, 279.6000
 914.0, 280.2000
 958.0, 277.5000
 983.0, 278.9000
1018.0, 279.9000
1019.0, 280.0000
1040.0, 281.0000
1049.0, 281.0000
1070.0, 283.0000
1099.0, 283.0000
1116.0, 283.0000
1146.0, 284.4000
1166.0, 284.1000
1200.0, 284.4000
1211.0, 283.8000
1251.0, 282.3000
1260.0, 282.3000
1278.0, 278.6000
1307.0, 281.7000
1330.0, 284.0000
1349.0, 278.5000
1390.0, 281.1000
1390.0, 280.7000
1411.0, 279.8000
1429.0, 279.9000
1449.0, 282.4000
1469.0, 280.2000
1502.0, 283.1000
1530.0, 283.8000
1550.0, 283.5000
1560.0, 282.0000
1573.0, 282.5000
1588.0, 281.2000
1591.0, 279.4000
1603.0, 275.1000
1609.0, 271.2000
1629.0, 273.9000
1640.0, 276.8000
1649.0, 278.0000
1682.0, 276.7000
1690.0, 276.5000
1694.0, 277.4000
1703.0, 275.0000
1710.0, 276.3000
1719.0, 276.4000
1723.0, 278.3000
1723.0, 277.1000
1734.0, 278.4000
1741.0, 276.9000
1746.0, 275.4000
1749.0, 277.6000
1752.0, 276.6000
1752.0, 278.0000
1760.0, 276.6000
1763.0, 277.2000
1764.0, 276.5000
1773.0, 278.0000
1775.0, 277.7000
1779.0, 280.2000
1780.0, 273.2000
1794.0, 281.8000
1796.0, 282.3000
1796.0, 279.3000
1796.0, 279.4000
1799.0, 281.4000
1799.0, 284.4000
1810.0, 281.1000
1814.0, 284.6000
1817.0, 280.9000
1825.0, 281.5000
1826.0, 281.8000
1827.0, 285.9000
1833.0, 285.1000
1833.0, 284.0000
1837.0, 284.3000
1838.0, 282.6000
1841.0, 283.6000
1842.0, 282.8000
1843.0, 282.7000
1844.0, 280.8000
1844.0, 282.0000
1845.0, 283.4000
1845.0, 283.0000
1846.0, 284.5000
1846.0, 282.9000
1847.0, 286.8000
1848.0, 283.6000
1851.0, 283.9000
1851.0, 288.9000
1851.0, 285.5000
1852.0, 284.0000
1854.0, 288.1000
1855.0, 285.6000
1855.0, 283.3000
